                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.67894,                0.42912,                 1.0918,                0.91329,                0.79186,                 0.8672,                0.68717,                0.72153,                0.64609,                 1.0688,               0.006535,               0.006535,               0.006535
                     72,                0.67587,                0.43256,                 1.0963,                0.88387,                0.82656,                0.88332,                0.72184,                0.68979,                0.61069,                 1.0585,              0.0064855,              0.0064855,              0.0064855
                     73,                0.65891,                0.42515,                  1.074,                0.93582,                0.81448,                0.89227,                0.72366,                0.68054,                0.54137,                 1.0489,               0.006436,               0.006436,               0.006436
                     74,                0.66113,                0.41667,                 1.0863,                0.89136,                0.84163,                0.87958,                0.72278,                 0.6335,                0.56439,                 1.0274,              0.0063865,              0.0063865,              0.0063865
                     75,                 0.6436,                0.41434,                 1.0771,                0.90082,                0.79638,                0.87409,                0.71297,                0.69649,                0.57221,                 1.0718,               0.006337,               0.006337,               0.006337
                     76,                0.62885,                0.41696,                 1.0916,                0.90076,                0.79186,                0.86746,                0.71708,                0.69048,                 0.5774,                 1.0677,              0.0062875,              0.0062875,              0.0062875
                     77,                0.65547,                0.42197,                 1.0814,                 0.9336,                 0.8009,                0.87438,                0.70993,                0.77943,                0.59773,                  1.091,               0.006238,               0.006238,               0.006238
                     78,                0.67243,                0.42009,                 1.0809,                0.88753,                0.82126,                0.87746,                0.71944,                0.71047,                0.55836,                 1.0579,              0.0061885,              0.0061885,              0.0061885
                     79,                0.65465,                0.41571,                 1.0849,                  0.897,                0.80995,                0.87513,                0.70498,                0.76079,                0.58429,                 1.1043,               0.006139,               0.006139,               0.006139
                     80,                0.63005,                0.40101,                 1.0727,                0.89283,                0.84163,                0.88249,                 0.7144,                0.75617,                0.59421,                  1.078,              0.0060895,              0.0060895,              0.0060895
                     81,                0.65205,                0.41283,                 1.0773,                 0.8912,                0.81539,                0.87762,                0.70848,                0.74787,                 0.6129,                 1.0716,                0.00604,                0.00604,                0.00604
                     82,                0.64074,                0.40898,                 1.0691,                0.92941,                 0.8009,                0.86355,                0.70344,                0.75511,                0.62235,                 1.0684,              0.0059905,              0.0059905,              0.0059905
                     83,                0.62567,                0.39646,                 1.0736,                0.90541,                0.77961,                0.85761,                0.68128,                0.75135,                0.64857,                 1.1229,               0.005941,               0.005941,               0.005941
                     84,                0.61967,                0.40103,                 1.0781,                0.87873,                0.81966,                0.87085,                0.72049,                0.70439,                0.64268,                  1.069,              0.0058915,              0.0058915,              0.0058915
                     85,                0.62211,                0.40321,                 1.0732,                0.89757,                0.79298,                0.87851,                0.72239,                0.71518,                0.56135,                 1.0861,               0.005842,               0.005842,               0.005842
                     86,                0.61757,                0.39407,                 1.0598,                 0.8745,                  0.819,                0.88491,                0.71828,                0.73794,                0.56687,                 1.1043,              0.0057925,              0.0057925,              0.0057925
                     87,                0.63188,                0.39734,                 1.0835,                0.90039,                0.79186,                0.87515,                 0.7064,                 0.7546,                 0.6352,                 1.1013,               0.005743,               0.005743,               0.005743
                     88,                0.62822,                0.40018,                 1.0618,                0.91864,                0.81746,                0.87337,                0.70091,                 0.7402,                0.62656,                 1.1013,              0.0056935,              0.0056935,              0.0056935
                     89,                0.59712,                0.38477,                 1.0597,                0.90731,                0.79638,                0.85556,                0.68962,                0.74771,                0.65345,                 1.1001,               0.005644,               0.005644,               0.005644
                     90,                0.60276,                0.38672,                 1.0494,                0.91253,                0.80246,                0.86712,                 0.6846,                0.74187,                0.62467,                 1.1332,              0.0055945,              0.0055945,              0.0055945
                     91,                0.61083,                0.39078,                  1.064,                 0.8857,                0.80643,                0.86431,                0.70479,                0.71513,                0.68112,                 1.0779,               0.005545,               0.005545,               0.005545
                     92,                0.62284,                0.39449,                 1.0754,                0.87106,                0.85592,                0.87439,                0.71975,                0.69714,                0.59985,                 1.0701,              0.0054955,              0.0054955,              0.0054955
                     93,                0.62122,                0.39893,                 1.0719,                0.90418,                0.80543,                0.87364,                0.71875,                0.69491,                 0.6149,                 1.0462,               0.005446,               0.005446,               0.005446
                     94,                0.60109,                0.39336,                 1.0581,                0.89569,                0.80995,                0.88554,                0.71873,                0.67591,                 0.5726,                 1.0471,              0.0053965,              0.0053965,              0.0053965
                     95,                  0.584,                0.37659,                 1.0599,                0.85794,                0.84715,                  0.867,                 0.7015,                0.71813,                0.57837,                 1.0668,               0.005347,               0.005347,               0.005347
                     96,                 0.6131,                 0.3888,                 1.0718,                0.89597,                0.82805,                0.86936,                0.69885,                0.68818,                0.56033,                 1.0452,              0.0052975,              0.0052975,              0.0052975
                     97,                0.60532,                0.38491,                 1.0687,                0.90446,                0.77102,                0.86526,                 0.7033,                0.71778,                 0.5922,                  1.069,               0.005248,               0.005248,               0.005248
                     98,                 0.5924,                0.38736,                 1.0636,                0.90559,                0.83258,                0.89014,                0.71845,                0.70575,                 0.5795,                 1.0762,              0.0051985,              0.0051985,              0.0051985
                     99,                0.58872,                0.37721,                 1.0619,                0.93562,                 0.8009,                0.89217,                0.71841,                0.69979,                0.54094,                 1.0692,               0.005149,               0.005149,               0.005149
                    100,                0.57561,                0.37463,                 1.0418,                 0.8949,                0.84762,                0.89055,                0.72719,                 0.6992,                0.52561,                 1.0518,              0.0050995,              0.0050995,              0.0050995
                    101,                0.58833,                0.38753,                   1.06,                0.91492,                0.82716,                0.88296,                0.70794,                0.70041,                0.52677,                 1.0621,                0.00505,                0.00505,                0.00505
                    102,                0.59687,                0.37246,                 1.0513,                0.91365,                0.78281,                0.86751,                0.70553,                 0.7084,                0.57451,                 1.0617,              0.0050005,              0.0050005,              0.0050005
                    103,                 0.5851,                0.36357,                 1.0394,                0.91484,                0.80543,                 0.8666,                0.70907,                0.75235,                 0.5936,                 1.0915,               0.004951,               0.004951,               0.004951
                    104,                0.57953,                0.36723,                  1.051,                0.91538,                0.78317,                0.85209,                 0.6537,                0.80316,                0.64208,                 1.1144,              0.0049015,              0.0049015,              0.0049015
                    105,                0.56984,                 0.3574,                 1.0468,                0.91745,                 0.8371,                 0.8878,                0.71949,                 0.7647,                0.64894,                 1.0967,               0.004852,               0.004852,               0.004852
                    106,                 0.5808,                0.36911,                 1.0525,                0.92675,                0.81448,                0.87804,                0.71574,                 0.7785,                0.60281,                 1.1032,              0.0048025,              0.0048025,              0.0048025
                    107,                0.56503,                0.36203,                 1.0352,                0.92782,                0.75614,                0.86706,                0.70827,                0.71264,                0.60922,                 1.0598,               0.004753,               0.004753,               0.004753
                    108,                0.58038,                  0.374,                 1.0419,                0.91177,                0.80543,                0.87519,                0.72205,                0.68713,                0.56245,                 1.0612,              0.0047035,              0.0047035,              0.0047035
                    109,                0.56871,                0.36053,                 1.0349,                0.91171,                0.81448,                0.87572,                0.72823,                 0.6853,                0.58057,                 1.0389,               0.004654,               0.004654,               0.004654
                    110,                0.58249,                0.37105,                 1.0354,                0.91258,                0.80305,                0.87163,                0.71508,                 0.6913,                 0.5509,                 1.0523,              0.0046045,              0.0046045,              0.0046045
                    111,                0.54612,                0.35908,                 1.0289,                 0.9044,                0.84163,                0.86924,                0.71552,                0.75469,                0.54211,                 1.0998,               0.004555,               0.004555,               0.004555
                    112,                0.54878,                0.35298,                 1.0196,                0.83629,                0.85523,                0.87558,                0.72445,                 0.7148,                 0.5524,                 1.0668,              0.0045055,              0.0045055,              0.0045055
                    113,                0.56723,                0.35008,                 1.0284,                0.89452,                 0.8058,                0.86943,                 0.7228,                0.68895,                0.54575,                 1.0552,               0.004456,               0.004456,               0.004456
                    114,                0.55572,                0.35587,                  1.023,                0.90703,                0.79638,                 0.8639,                0.72182,                 0.6931,                0.55542,                 1.0655,              0.0044065,              0.0044065,              0.0044065
                    115,                0.53311,                0.34054,                 1.0178,                0.90339,                0.80543,                0.87339,                0.71852,                0.67579,                 0.5499,                 1.0474,               0.004357,               0.004357,               0.004357
                    116,                0.54151,                0.35108,                 1.0361,                0.89178,                0.79186,                 0.8639,                 0.7096,                0.61863,                0.55361,                  1.033,              0.0043075,              0.0043075,              0.0043075
                    117,                0.54847,                0.34635,                 1.0125,                0.91259,                0.80995,                0.86722,                0.71166,                0.62418,                0.56192,                 1.0237,               0.004258,               0.004258,               0.004258
                    118,                0.54639,                0.34652,                 1.0285,                0.88623,                 0.8107,                0.86063,                0.71692,                0.65903,                0.57437,                 1.0483,              0.0042085,              0.0042085,              0.0042085
                    119,                0.53626,                0.33673,                 1.0168,                0.89016,                0.80678,                0.86912,                0.71284,                0.69993,                 0.5757,                 1.0708,               0.004159,               0.004159,               0.004159
                    120,                0.53279,                 0.3436,                 1.0246,                0.86893,                0.79638,                0.85269,                0.70851,                0.72208,                0.61767,                 1.0756,              0.0041095,              0.0041095,              0.0041095
                    121,                0.52951,                 0.3242,                 1.0203,                0.91399,                0.76471,                0.85181,                0.70848,                0.71324,                0.58671,                 1.0642,                0.00406,                0.00406,                0.00406
                    122,                0.55365,                 0.3472,                 1.0265,                0.87862,                0.78733,                  0.862,                0.70958,                0.69766,                0.54933,                 1.0496,              0.0040105,              0.0040105,              0.0040105
                    123,                0.54703,                0.34746,                 1.0277,                0.90287,                 0.7992,                0.86636,                0.71868,                0.68825,                0.54628,                  1.034,               0.003961,               0.003961,               0.003961
                    124,                0.53713,                0.34184,                 1.0291,                0.89269,                0.82815,                0.86426,                0.70666,                0.69185,                 0.5404,                 1.0432,              0.0039115,              0.0039115,              0.0039115
                    125,                0.54639,                0.34754,                 1.0152,                 0.9091,                0.81448,                0.86172,                0.69806,                0.68675,                0.53468,                 1.0534,               0.003862,               0.003862,               0.003862
                    126,                0.53458,                0.33609,                 1.0169,                 0.8875,                0.82105,                 0.8732,                0.71638,                0.70587,                 0.5176,                 1.0645,              0.0038125,              0.0038125,              0.0038125
                    127,                0.52501,                0.33432,                 1.0087,                0.87206,                0.82353,                0.87747,                0.72678,                0.63706,                0.52243,                 1.0196,               0.003763,               0.003763,               0.003763
                    128,                0.52699,                0.33732,                 1.0206,                0.89834,                0.79975,                0.86709,                0.71426,                0.66956,                0.53025,                 1.0293,              0.0037135,              0.0037135,              0.0037135
                    129,                0.51597,                0.33025,                 1.0024,                0.92087,                0.78988,                0.86229,                0.71308,                0.67929,                0.52367,                 1.0463,               0.003664,               0.003664,               0.003664
                    130,                0.50409,                0.33361,                  1.024,                0.90089,                0.78733,                0.85645,                 0.7089,                0.63594,                0.55748,                  1.035,              0.0036145,              0.0036145,              0.0036145
                    131,                0.51946,                0.32969,                 1.0079,                0.89412,                0.79186,                0.86345,                0.71713,                0.65146,                0.53196,                 1.0443,               0.003565,               0.003565,               0.003565
                    132,                0.51345,                0.33043,                 1.0051,                0.89964,                0.78733,                0.86766,                0.72407,                0.64709,                0.56032,                 1.0412,              0.0035155,              0.0035155,              0.0035155
